	 time{0000000a}	 RegDat 0{xxxxxxxx}	 RegDat 1{xxxxxxxx}	 RegDat 2{xxxxxxxx}	 RegDat 3{xxxxxxxx}	 RegDat 4{xxxxxxxx}	 RegDat 5{xxxxxxxx}	 RegDat 6{xxxxxxxx}	 RegDat 7{xxxxxxxx}	 RegDat 8{xxxxxxxx}	 RegDat 9{xxxxxxxx}	 RegDat10{xxxxxxxx}	 RegDat11{xxxxxxxx}	 RegDat12{xxxxxxxx}	 RegDat13{xxxxxxxx}	 RegDat14{xxxxxxxx}	 RegDat15{xxxxxxxx}
	 time{0000001e}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000032}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000046}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000005a}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{0000006e}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000082}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{00000096}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000000aa}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000000be}	 RegDat 0{00000001}	 RegDat 1{00000002}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000000d2}	 RegDat 0{00000001}	 RegDat 1{00000000}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
	 time{000000e6}	 RegDat 0{08070605}	 RegDat 1{00000000}	 RegDat 2{00000004}	 RegDat 3{00000008}	 RegDat 4{00000010}	 RegDat 5{00000020}	 RegDat 6{00000040}	 RegDat 7{00000080}	 RegDat 8{00000100}	 RegDat 9{00000200}	 RegDat10{00000400}	 RegDat11{00000800}	 RegDat12{00001000}	 RegDat13{00002000}	 RegDat14{00004000}	 RegDat15{00008000}
