	 time{0000000c}	 RST{1}	 PC_4{00000003}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{ffffffff}	 WDAT{ffffffff}	 PC_DECODE{ffffffff}	 I_OUT{xxxxxxxx}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{ffffffff}	 OP2_OUT{ffffffff}	 OP3_OUT{ffffffff}	 MULOUT{00000001}	 Ain{ffffffff}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{ffffffff}	 WB_FWD{ffffffff}	 WB_IN{ffffffff}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{ffffffff}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{ffffffff}	 MEM_ADD_IN{fffffffb}	 MADD{fffffffb}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{ffffffff}	 CPSR_Out{0000}	 ALUOutReg{ffffffff}	 WB_Out{ffffffff}	 MEM_DATA_out{ffffffff}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{xxxxxxxx}	 OP_WB_OUT{ffffffff}	 DestAddEXE{zzzzz}	 DestAddMEM{xxxx}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000020}	 RST{1}	 PC_4{00000003}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{ffffffff}	 WDAT{ffffffff}	 PC_DECODE{ffffffff}	 I_OUT{xxxxxxxx}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{ffffffff}	 OP2_OUT{ffffffff}	 OP3_OUT{ffffffff}	 MULOUT{00000001}	 Ain{ffffffff}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{ffffffff}	 WB_FWD{ffffffff}	 WB_IN{ffffffff}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{ffffffff}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{ffffffff}	 MEM_ADD_IN{fffffffb}	 MADD{fffffffb}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{ffffffff}	 CPSR_Out{0000}	 ALUOutReg{ffffffff}	 WB_Out{ffffffff}	 MEM_DATA_out{ffffffff}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{zzzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000034}	 RST{1}	 PC_4{00000003}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{ffffffff}	 WDAT{ffffffff}	 PC_DECODE{ffffffff}	 I_OUT{xxxxxxxx}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{ffffffff}	 OP2_OUT{ffffffff}	 OP3_OUT{ffffffff}	 MULOUT{00000001}	 Ain{ffffffff}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{ffffffff}	 WB_FWD{ffffffff}	 WB_IN{ffffffff}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{ffffffff}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{ffffffff}	 MEM_ADD_IN{fffffffb}	 MADD{fffffffb}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{ffffffff}	 CPSR_Out{0000}	 ALUOutReg{ffffffff}	 WB_Out{ffffffff}	 MEM_DATA_out{ffffffff}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{zzzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000048}	 RST{1}	 PC_4{00000003}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{ffffffff}	 WDAT{ffffffff}	 PC_DECODE{ffffffff}	 I_OUT{xxxxxxxx}	 INT_REG_OUT{ffffffff}	 RDAT1{00008000}	 MUL_ADD{0}	 RDAT2{00008000}	 RDAT3{00008000}	 R1_IN{1111}	 R2_IN{1111}	 R3_IN{1111}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00008000}	 OP2_IN{00008000}	 OP3_IN{00008000}	 OP1_OUT{ffffffff}	 OP2_OUT{ffffffff}	 OP3_OUT{ffffffff}	 MULOUT{00000001}	 Ain{ffffffff}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{ffffffff}	 WB_FWD{ffffffff}	 WB_IN{ffffffff}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{ffffffff}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{ffffffff}	 MEM_ADD_IN{fffffffb}	 MADD{fffffffb}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{ffffffff}	 CPSR_Out{0000}	 ALUOutReg{ffffffff}	 WB_Out{ffffffff}	 MEM_DATA_out{ffffffff}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{zzzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{0000005c}	 RST{0}	 PC_4{00000007}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000003}	 WDAT{ffffffff}	 PC_DECODE{00000003}	 I_OUT{e3a01000}	 INT_REG_OUT{xxxxxxxx}	 RDAT1{xxxxxxxx}	 MUL_ADD{0}	 RDAT2{xxxxxxxx}	 RDAT3{xxxxxxxx}	 R1_IN{xxxx}	 R2_IN{xxxx}	 R3_IN{xxxx}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{xxxxxxxx}	 OP2_IN{xxxxxxxx}	 OP3_IN{xxxxxxxx}	 OP1_OUT{00008000}	 OP2_OUT{00008000}	 OP3_OUT{00008000}	 MULOUT{40000000}	 Ain{00008000}	 Bin{xxxxxxxx}	 EXEOUT{0000X000}	 MEM_FWD{xxxxxxxx}	 WB_FWD{ffffffff}	 WB_IN{xxxxxxxx}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{ffffffff}	 DestReg_Gen{zzzz}	 DecROM_Decode{       0}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00008000}	 OP_temp{0000}	 ALUout{0000X000}	 MEM_ADD_OUT{fffffffb}	 MEM_ADD_IN{00007ffc}	 MADD{fffffff7}	 RD_Out{ffffffff}	 MEM_DIN{ffffffff}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00008000}	 CPSR_Out{0000}	 ALUOutReg{xxxxxxxx}	 WB_Out{ffffffff}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{0zzzz}
 	 time{00000070}	 RST{0}	 PC_4{0000000b}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{x}	 MULOP{0000000000000000}	 NoAdd{0}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000007}	 WDAT{xxxxxxxx}	 PC_DECODE{00000007}	 I_OUT{e891003f}	 INT_REG_OUT{e3a01000}	 RDAT1{00000001}	 MUL_ADD{c}	 RDAT2{00000001}	 RDAT3{00000001}	 R1_IN{0000}	 R2_IN{0000}	 R3_IN{0000}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{00}	 Cin{x}	 Cout{0}	 Dec_CntWord{000000000}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00000001}	 OP2_IN{00000001}	 OP3_IN{00000001}	 OP1_OUT{xxxxxxxx}	 OP2_OUT{xxxxxxxx}	 OP3_OUT{xxxxxxxx}	 MULOUT{xxxxxxxx}	 Ain{xxxxxxxx}	 Bin{xxxxxxxx}	 EXEOUT{xxxxxxxx}	 MEM_FWD{0000X000}	 WB_FWD{xxxxxxxx}	 WB_IN{0000X000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{xxxxxxxx}	 DestReg_Gen{0001}	 DecROM_Decode{       b}	 ExeROM_Decode{       0}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{xxxxxxxx}	 OP_temp{0000}	 ALUout{xxxxxxxx}	 MEM_ADD_OUT{00007ffc}	 MEM_ADD_IN{xxxxxxxx}	 MADD{00007ff8}	 RD_Out{00008000}	 MEM_DIN{00008000}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{xxxxxxxx}	 CPSR_Out{0000}	 ALUOutReg{0000X000}	 WB_Out{xxxxxxxx}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{1100}	 OP_MEM_OUT{ffffffff}	 OP_WB_OUT{ffffffff}	 DestAddEXE{0zzzz}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{00001}
 	 time{00000084}	 RST{0}	 PC_4{0000000f}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{0}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000000000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000000b}	 WDAT{0000X000}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000001}	 MUL_ADD{0}	 RDAT2{00000001}	 RDAT3{00000002}	 R1_IN{0000}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{01}	 Cin{0}	 Cout{0}	 Dec_CntWord{111110010}	 Exe_CntWord{00000000000000}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00000001}	 OP2_IN{00000001}	 OP3_IN{00000000}	 OP1_OUT{00000001}	 OP2_OUT{00000001}	 OP3_OUT{00000001}	 MULOUT{00000001}	 Ain{00000001}	 Bin{00000000}	 EXEOUT{00000000}	 MEM_FWD{xxxxxxxx}	 WB_FWD{0000X000}	 WB_IN{xxxxxxxx}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{e3a01000}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       b}	 WBROM_Decode{       0}	 SFTout{00000000}	 MEM_ADD{00000001}	 OP_temp{1101}	 ALUout{00000000}	 MEM_ADD_OUT{xxxxxxxx}	 MEM_ADD_IN{fffffffd}	 MADD{xxxxxxxx}	 RD_Out{xxxxxxxx}	 MEM_DIN{xxxxxxxx}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000001}	 CPSR_Out{0000}	 ALUOutReg{xxxxxxxx}	 WB_Out{0000X000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0000}	 OP_MEM_OUT{xxxxxxxx}	 OP_WB_OUT{ffffffff}	 DestAddEXE{00001}	 DestAddMEM{zzzz}	 DestAddWB{zzzz}	 Dest_Reg_ADD{10000}
 	 time{00000098}	 RST{0}	 PC_4{00000013}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{0}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000111110}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000000f}	 WDAT{xxxxxxxx}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000002}	 MUL_ADD{1}	 RDAT2{00000001}	 RDAT3{00000002}	 R1_IN{0001}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{10}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{10}	 Cin{0}	 Cout{0}	 Dec_CntWord{110110010}	 Exe_CntWord{00001000000110}	 Mem_CntWord{000000000}	 WB_CntWord{000}	 OP1_IN{00000000}	 OP2_IN{00000001}	 OP3_IN{00000000}	 OP1_OUT{00000001}	 OP2_OUT{00000001}	 OP3_OUT{00000000}	 MULOUT{00000001}	 Ain{00000001}	 Bin{xxxxxxxx}	 EXEOUT{0000000X}	 MEM_FWD{00000000}	 WB_FWD{xxxxxxxx}	 WB_IN{00000000}	 MEM_Out{xxxxxxxx}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       9}	 WBROM_Decode{       0}	 SFTout{xxxxxxxx}	 MEM_ADD{00000000}	 OP_temp{0000}	 ALUout{0000000X}	 MEM_ADD_OUT{fffffffd}	 MEM_ADD_IN{00000004}	 MADD{fffffff9}	 RD_Out{00000001}	 MEM_DIN{00000001}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000000}	 CPSR_Out{0000}	 ALUOutReg{00000000}	 WB_Out{xxxxxxxx}	 MEM_DATA_out{xxxxxxxx}	 WADD{       z}	 WEN{0}	 MUL_ADD{0001}	 OP_MEM_OUT{e3a01000}	 OP_WB_OUT{xxxxxxxx}	 DestAddEXE{10000}	 DestAddMEM{0001}	 DestAddWB{zzzz}	 Dest_Reg_ADD{10001}
 	 time{000000ac}	 RST{0}	 PC_4{00000017}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{0}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000111100}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000013}	 WDAT{00000000}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000004}	 MUL_ADD{2}	 RDAT2{00000001}	 RDAT3{00000002}	 R1_IN{0010}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{10}	 OP3_FWD_Sel{10}	 Cin{0}	 Cout{0}	 Dec_CntWord{110110010}	 Exe_CntWord{00001000001010}	 Mem_CntWord{010000000}	 WB_CntWord{001}	 OP1_IN{00000004}	 OP2_IN{08070605}	 OP3_IN{08070605}	 OP1_OUT{00000000}	 OP2_OUT{00000001}	 OP3_OUT{00000000}	 MULOUT{00000000}	 Ain{00000000}	 Bin{xxxxxxxx}	 EXEOUT{00000000}	 MEM_FWD{08070605}	 WB_FWD{00000000}	 WB_IN{0000000X}	 MEM_Out{08070605}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       9}	 WBROM_Decode{       b}	 SFTout{xxxxxxxx}	 MEM_ADD{00000000}	 OP_temp{0000}	 ALUout{00000000}	 MEM_ADD_OUT{00000004}	 MEM_ADD_IN{00000008}	 MADD{00000000}	 RD_Out{00000001}	 MEM_DIN{00000001}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000004}	 CPSR_Out{0000}	 ALUOutReg{0000000X}	 WB_Out{00000000}	 MEM_DATA_out{xxxxxxxx}	 WADD{       1}	 WEN{1}	 MUL_ADD{0010}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e3a01000}	 DestAddEXE{10001}	 DestAddMEM{0000}	 DestAddWB{0001}	 Dest_Reg_ADD{10010}
 	 time{000000c0}	 RST{0}	 PC_4{0000001b}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{0}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000111000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{00000017}	 WDAT{08070605}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000008}	 MUL_ADD{3}	 RDAT2{00000001}	 RDAT3{00000000}	 R1_IN{0011}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{11}	 OP3_FWD_Sel{10}	 Cin{0}	 Cout{0}	 Dec_CntWord{110110010}	 Exe_CntWord{00001000001010}	 Mem_CntWord{010000000}	 WB_CntWord{111}	 OP1_IN{00000008}	 OP2_IN{08070605}	 OP3_IN{12111009}	 OP1_OUT{00000004}	 OP2_OUT{08070605}	 OP3_OUT{08070605}	 MULOUT{201c1814}	 Ain{201c1814}	 Bin{xxxxxxxx}	 EXEOUT{X0XXXXXX}	 MEM_FWD{12111009}	 WB_FWD{08070605}	 WB_IN{00000000}	 MEM_Out{12111009}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       9}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{08070605}	 OP_temp{0000}	 ALUout{X0XXXXXX}	 MEM_ADD_OUT{00000008}	 MEM_ADD_IN{0000000c}	 MADD{00000004}	 RD_Out{00000001}	 MEM_DIN{00000001}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{00000008}	 CPSR_Out{0000}	 ALUOutReg{00000000}	 WB_Out{0000000X}	 MEM_DATA_out{08070605}	 WADD{       0}	 WEN{1}	 MUL_ADD{0011}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e891003f}	 DestAddEXE{10010}	 DestAddMEM{0001}	 DestAddWB{0000}	 Dest_Reg_ADD{10011}
 	 time{000000d4}	 RST{0}	 PC_4{0000001f}	 INPORT{xxxxxxxx}	 GCnt_Out_DEC{1}	 GCnt_Out_EXE{1}	 GCnt_Out_MEM{1}	 GCnt_Out_WB{1}	 OUTPORT{xxxxxxxx}	 Vout{0}	 MULOP{0000000000110000}	 NoAdd{1}	 CondOut{1}	 PC_SEL{0}	 PC_OUT{0000001b}	 WDAT{12111009}	 PC_DECODE{0000000b}	 I_OUT{ffffffff}	 INT_REG_OUT{e891003f}	 RDAT1{00000010}	 MUL_ADD{4}	 RDAT2{08070605}	 RDAT3{00000000}	 R1_IN{0100}	 R2_IN{0000}	 R3_IN{0001}	 OP1_FWD_Sel{00}	 OP2_FWD_Sel{00}	 OP3_FWD_Sel{11}	 Cin{0}	 Cout{0}	 Dec_CntWord{110110010}	 Exe_CntWord{00001000001010}	 Mem_CntWord{010000000}	 WB_CntWord{111}	 OP1_IN{00000010}	 OP2_IN{08070605}	 OP3_IN{12111009}	 OP1_OUT{00000008}	 OP2_OUT{08070605}	 OP3_OUT{12111009}	 MULOUT{40383028}	 Ain{40383028}	 Bin{xxxxxxxx}	 EXEOUT{X0XXX0XX}	 MEM_FWD{16151413}	 WB_FWD{12111009}	 WB_IN{X0XXXXXX}	 MEM_Out{16151413}	 OP_EXE_OUT{e891003f}	 DestReg_Gen{zzzz}	 DecROM_Decode{       9}	 ExeROM_Decode{       9}	 WBROM_Decode{       9}	 SFTout{xxxxxxxx}	 MEM_ADD{12111009}	 OP_temp{0000}	 ALUout{X0XXX0XX}	 MEM_ADD_OUT{0000000c}	 MEM_ADD_IN{00000010}	 MADD{00000008}	 RD_Out{08070605}	 MEM_DIN{08070605}	 B_HW_W{00}	 WRITE_MEM{0}	 MEM_MUX_OUT{0000000c}	 CPSR_Out{0000}	 ALUOutReg{X0XXXXXX}	 WB_Out{00000000}	 MEM_DATA_out{12111009}	 WADD{       1}	 WEN{1}	 MUL_ADD{0100}	 OP_MEM_OUT{e891003f}	 OP_WB_OUT{e891003f}	 DestAddEXE{10011}	 DestAddMEM{0010}	 DestAddWB{0001}	 Dest_Reg_ADD{10100}
